职位,薪资,城市,经验,学历,公司,公司领域,公司性质,公司规模,福利标签,技能标签,岗位描述
商场营运主管,1-1.2万·13薪,深圳·南山区,3年及以上,本科,深圳市卓越物业管理有限责任公司,物业管理/商业中心,民营,5000-10000人,,竣工验收;现场管理;进场装修;消防报验;工程整改;商场运营主管;TC,
招商营运副总经理,2-2.5万·16薪,重庆·巴南区,6年及以上,,重庆巴南万达广场商业管理有限公司,物业管理/商业中心,民营,未知,五险一金;年终奖金;定期体检;做五休二,提供餐饮,
临港宝龙-营运专业经理,1-1.5万,上海·浦东新区,3年及以上,大专,上海镌新企业管理有限公司,物业管理/商业中心,已上市,500-1000人,,数据分析;现场管理;运营管理;进场装修;市场动态;市调;租费收缴;巡场;租金收缴;经营数据,
营运主管,7-9千,成都·双流区,2年,本科,成都优品道实业有限公司,物业管理/商业中心,民营,150-500人,五险一金;节日福利;通讯补贴;交通补贴;餐饮补贴;专业培训;带薪年假;定期体检,营运管理,
营运业务经理 (MJ001132),8千-1.5万,昆明,3-4年,本科,昆明世纪金源购物大广场有限公司,物业管理/商业中心,民营,500-1000人,五险一金;专业培训;年终奖金;绩效奖金;周末双休;带薪年假;定期体检;包吃包住;晋升空间,营运经理,
营运助理,3.7-4.1千·16薪,重庆·巴南区,无需经验,,重庆巴南万达广场商业管理有限公司,物业管理/商业中心,民营,未知,五险一金;年终奖金;定期体检,商业运营;楼层管理;提供餐饮,
营运主管,6千-1万,常州·溧阳市,3年及以上,大专,江苏上河城商业管理有限公司,物业管理/商业中心,民营,50-150人,五险一金;年终奖金;餐饮补贴;节日福利;带薪年假,运营管理;商户管理;购物中心,市场营销 市场推广 客户服务
营运经理,7.5千-1.5万·13薪,乌鲁木齐,10年及以上,本科,周生生（中国）商业有限公司,奢侈品/收藏品/工艺品/珠宝,外资（非欧美）,5000-10000人,培训;五险一金;年终奖金;专业培训,办公软件;管理;对账;关系维护;开拓市场;营业;开店;顾客投诉;调配,
营运主管,6-8千,武汉·汉阳区,无需经验,大专,武汉荟宁商业管理有限公司,房地产,民营,150-500人,带薪年假;五险一金;绩效奖金;节日福利,购物中心;经营;商户管理;执行方案;租赁管理;百货营运,经营销售
商业营运经理,1-1.5万,上海,2年及以上,本科,上海东昌企业集团有限公司,多元化业务集团公司,民营,5000-10000人,,数据分析;团队管理;费用收缴;日常维护;广告策划;商户管理;安全消防,活动执行 营销推广 流程优化
