职位,薪资,城市,经验,学历,公司,公司领域,公司性质,公司规模,福利标签,技能标签,岗位描述
海外产品管理经理 (MJ002522),2.5-4.5万·13薪,广州,8年及以上,本科,无限极（中国）有限公司,快速消费品(食品、饮料、化妆品),外资（非欧美）,5000-10000人,五险一金;补充医疗保险,订单交付;退市管理;产品升级;产品变更管理;项目管理;团队管理;供应商管理;新品开发;质量,
产品经理（工程机械-合肥）,8千-1.6万·13薪,合肥,3-5年,本科,深圳麦格米特电气股份有限公司,电子技术/半导体/集成电路,已上市,5000-10000人,五险一金,数据分析;机械;需求分析;市场分析;产品推广;市场动态;工程机械;客户分析,客户关系 产品规划
创新发展中心-产品经理,15-20万/年,青岛·崂山区,3年及以上,本科,青岛饮料集团有限公司,快速消费品(食品、饮料、化妆品),国企,1000-5000人,年终奖金;绩效奖金,ai;原型设计;中试;市场研究;商业分析;立项报告;消费者洞察;可行性论证;设计思维,商业模式
产品开发工程师,1.5-3万,合肥·蜀山区,3年及以上,本科,安徽瑞迪微电子有限公司,电子技术/半导体/集成电路,合资,50-150人,五险一金;绩效奖金;定期体检;节日福利,电子;需求分析;半导体器件;电路;物理;技术文档;产品管理;项目,
产品专员,8千-1.3万·13薪,武汉·江汉区,1-5年,本科,中焙食品（武汉）有限公司,快速消费品(食品、饮料、化妆品),民营,500-1000人,产品培训;五险一金;带薪年假;节日福利,推广;市场调研;食品;产品推广;市场信息收集;数据整理;烘焙,市场营销
产品工程师（机加）(J10349),1.5-2万,嘉兴,2年,大专,浙江宏利汽配集团有限公司,汽车零配件,民营,1000-5000人,培训,汽车项目;APQP;PPAP,
产品应用工程师,8千-1.2万,佛山,1-5年,本科,广东星光传动股份有限公司,机械/设备/重工,民营,150-500人,培训;五险;带薪年假,机械;物流;技术交流;变频器;售前技术支持;锂电;产品改善;食品包装;产品试样,
结构工程师（工具产品）,1-1.5万·13薪,杭州·上城区,5年及以上,本科,杭州巨星科技股份有限公司,机械/设备/重工,已上市,5000-10000人,员工宿舍;餐饮补贴;专业培训;周末双休;五险一金,cad;ps;结构设计;机械制造;试产;plm;设计开发;开模,
汽车产品设计工程师,9千-1.5万·13薪,南京·溧水区,5年及以上,本科,布雷博中国,汽车,外资（欧美）,1000-5000人,五险一金;补充医疗保险,数据分析;测试;fmea;matlab;技术开发;3d;2d图纸;产品规范;maintenance;catia,
产品工程师（悬置）(J10359),1.5-2万,嘉兴,3年,大专,浙江宏利汽配集团有限公司,汽车零配件,民营,1000-5000人,培训,液压悬置;衬套,
产品工程师（汽车轮毂）,14-18万/年,宁波·慈溪市,2年及以上,本科,前锦网络信息技术（上海）有限公司,专业服务(咨询、人力资源、财会),外资（非欧美）,5000-10000人,,办公软件;图纸;产品设计;dfmea;生产工艺流程;降本增效;产品标准;工艺评审;模流分析;工艺策划,
电动工具产品经理,1.5-2.2万·14薪,杭州·上城区,5年及以上,本科,杭州巨星科技股份有限公司,机械/设备/重工,已上市,5000-10000人,五险一金;餐饮补贴;年终奖金,测试;机械;项目管理;团队管理;产品开发;机电;技术管理;商务;竞品分析,
产品设计工程师,1-2万,合肥·巢湖市,3年及以上,本科,安徽众铄汽车零部件有限公司,计算机软件,外资（欧美）,未知,,cad;ug;绘图软件;控制计划;可行性分析;dfmea;模具开发;cae;技术资料;产品工艺,
产品应用工程师,1-1.5万,杭州·钱塘区,5年及以上,本科,浙江泰福泵业股份有限公司,机械/设备/重工,已上市,1000-5000人,五险一金;补充医疗保险,测试;cad;机械;方案设计;产品开发;设计软件;技术交流;技术文档;新产品开发;图纸绘制,
产品工程师,7-9千·13薪,嘉兴·平湖市,1-3年,本科,上海文洲信息科技有限公司,通信/电信/网络设备,民营,未知,五险一金;年终奖金;带薪年假;补充医疗保险,CAD;英文,
AI产品经理,1-1.7万·14薪,苏州·苏州工业园区,2-3年,本科,贯文网络科技（苏州）有限公司,计算机软件,民营,50-150人,五险一金;带薪年假;年终奖金;绩效奖金;项目奖金;专业培训;定期体检,ai;项目;产品经理;产品策略;多任务处理,
产品经理,4-8千,沈阳·浑南区,无需经验,本科,沈阳叁生万物医药科技有限公司,医疗/护理/卫生,民营,少于50人,,,
服务产品经理,1.5-2.5万·13薪,武汉,3年及以上,本科,东风汽车集团股份有限公司,汽车,国企,10000人以上,五险一金,方案设计;运营管理;产品开发;运营推广;需求收集;维修养护;道路救援;开发推广;服务产品开发,营销推广
移动产品经理,5千-1万,,5年及以上,大专,河南岑琅供应链有限公司,贸易/进出口,民营,未知,弹性工作,移动APP开发;IT产品;远程办公,
产品经理/主管,15-20万/年,武汉,3年及以上,本科,湖北氮能农业生物科技有限公司,农/林/牧/渔,民营,少于50人,五险一金;交通补贴;补充医疗保险;绩效奖金;专业培训;年终奖金;餐饮补贴,肥料;化学,
产品经理（餐补+双休+13薪+线上面）,1-2万,广州,3-8年,大专,深圳市法本信息技术股份有限公司,计算机软件,国企,未知,五险一金;年终奖金,数据分析;产品策划;流程梳理;用户反馈;骑手;需求文档撰写;认知;c2c;订单转化;执行策划,
