职位,薪资,城市,经验,学历,公司,公司领域,公司性质,公司规模,福利标签,技能标签,岗位描述
大数据开发工程师,2-3万,成都,2年及以上,本科,兴业数字金融服务（上海）股份有限公司,金融/投资/证券,合资,1000-5000人,五险一金,数据分析;资产管理;kafka;大数据;zookeeper;hadoop;hive;spark;hbase,金融工程
数据分析师,1.2-1.5万·13薪,青岛·市北区,无需经验,本科,青岛泓优月物业管理有限公司,物业管理/商业中心,民营,50-150人,五险一金;绩效奖金;年终奖金,计算机;数据分析;excel;sql;数学;统计分析;分析报告;数据支持;数据挖掘;数据,
电商数据分析无需经验,1-1.8万·13薪,广州·白云区,无需经验,本科,广州晁临电子贸易有限公司,批发/零售,民营,少于50人,,数据分析;excel;数据支持;数据报表;用户行为分析;数据模型搭建;平台数据;power,营销策略 销售数据监控
数据分析员/五险双休,7.6-9.8千·13薪,天津·和平区,无需经验,,乐宫（河北）企业管理有限公司,专业服务(咨询、人力资源、财会),民营,少于50人,五险一金;绩效奖金,计算机;数据分析;excel;sql;数学;数据支持;业务优化;数据分析模型;统计学;挖掘数据价值,
质量工程师（数据分析方向）,1-1.3万·13薪,南通·通州区,3年及以上,本科,安费诺高速技术（南通）有限公司,计算机软件,外资（欧美）,10000人以上,五险一金;年终奖金,数据分析;8d;数据支持;质量;计算机科学;minitab;jmp;质量改进;数据搜集;统计学,
数据分析师（管培生）,1-1.3万,福州,无需经验,本科,猎创企聘（四川）科技有限公司,贸易/进出口,民营,未知,五险一金,数据分析;sql;数学;统计;经营分析;资格证书;业务运营;数据应用;报表体系;产品数据;保险,
数据分析员,6千-1万,平顶山·新华区,无需经验,本科,山西飞马数据科技有限公司,计算机软件,民营,未知,餐补,大数据;电子信息;物联网;spark;人工智能;数据支持;计算机科学;大数据平台;技术解决方案;数据处理,
销售数据分析师/运营专员,8千-1.2万,深圳·光明区,1年及以上,本科,深圳市飞荣达科技股份有限公司,通信/电信/网络设备,已上市,10000人以上,五险一金;免费班车;通讯补贴;专业培训;节日福利;包吃包住;有薪年假,市场分析,
数据分析员/五险双休,7.6-9.8千·13薪,石家庄·裕华区,无需经验,,乐宫（河北）企业管理有限公司,专业服务(咨询、人力资源、财会),民营,少于50人,五险一金;绩效奖金,计算机;数据分析;excel;sql;数学;数据支持;业务优化;数据分析模型;统计学;挖掘数据价值,
数据分析岗（15薪）,8千-1.5万·15薪,福州,1-3年,本科,猎创企聘（四川）科技有限公司,贸易/进出口,民营,未知,五险一金,计算机;数据分析;数学;统计;业务运营;数据应用;报表体系;风险模型;精算学;风险策略;保险,
初级数据分析（双休）,6-7.5千,贵阳·南明区,1-2年,本科,贵州汕悠建筑工程有限公司,建筑/建材/工程,民营,未知,五险一金;带薪年假,计算机;办公软件;会计;财务管理;编程;数学;数据平台;数据应用;数据流处理;统计学;旅游,
业务数据分析师(J10039),8千-1.3万,上海·长宁区,1-3年,本科,CoCo都可,快速消费品(食品、饮料、化妆品),外资（非欧美）,1000-5000人,,物料需求预测;产销预测;数据分析,
数据分析员/五险双休,7.6-9.8千·13薪,成都·青羊区,无需经验,,乐宫（河北）企业管理有限公司,专业服务(咨询、人力资源、财会),民营,少于50人,五险一金;绩效奖金,计算机;数据分析;excel;sql;数学;数据支持;业务优化;数据分析模型;统计学;挖掘数据价值,
数据分析师,6千-1.1万,重庆·永川区,1年及以上,大专,拓宇（重庆）信息技术服务有限公司,通信/电信运营、增值服务,民营,5000-10000人,培训;五险一金;绩效奖金,计算机;数据分析;数学;数据统计;分析报告;office软件;晋升;数据汇总;数据敏感度,
数据分析师,8千-1.2万,杭州·西湖区,无需经验,本科,上海学获帮教育科技有限公司,教育/培训/院校,民营,未知,五险一金;年终奖金,计算机;数据分析;excel;sql;数学;信息管理;业务优化;数据分析模型;业务决策;数据趋势,
数据分析,7.8千-1.3万·13薪,合肥,1年及以上,大专,上海洄艏电子商务有限公司,计算机软件,民营,未知,五险一金;绩效奖金;年终奖金;定期体检;专业培训,办公软件;数据分析;excel;数据质量;数据解读;数据处理,
大数据分析师,8千-1.6万,南京,1年,大专,宁波晨铭金属有限公司,原材料和加工,民营,50-150人,五险一金;五险;带薪年假,数据分析;excel;sql;数据收集;数据支持;数据模型;可视化;清洗;业务决策,数据驱动
数据分析专员,6千-1万,成都·青羊区,1年,大专,成都希禾营销策划有限责任公司,影视/媒体/艺术/文化传播,民营,未知,,数据分析;数据支持;数据;数据分析模型;业务决策;数据分析报告,跨部门协作
数据分析员/五险双休,7.6-9.8千·13薪,济南·市中区,无需经验,,乐宫（河北）企业管理有限公司,专业服务(咨询、人力资源、财会),民营,少于50人,五险一金;绩效奖金,计算机;数据分析;excel;sql;数学;数据支持;业务优化;数据分析模型;统计学;挖掘数据价值,
业务数据分析师(J10039),8千-1.3万,上海·长宁区,1-3年,本科,CoCo都可,快速消费品(食品、饮料、化妆品),外资（非欧美）,1000-5000人,,物料需求预测;产销预测;数据分析,
助理数据分析师,7.5千-1.4万·13薪,武汉,1年及以上,大专,上海洄艏电子商务有限公司,计算机软件,民营,未知,五险一金;绩效奖金;年终奖金;定期体检,计算机;数据分析;excel;sql;数学;分析报告;数据收集;统计学,
销售数据分析与支持专员,6-8千·13薪,武汉·东湖新技术产业开发区,2年及以上,本科,武汉天腾动力科技有限公司,机械/设备/重工,合资,150-500人,五险一金;出国机会;年终奖金;双休,财务;英文;应收账款;英文读写;数据查询,销售数据
数据分析员/五险双休,7.6-9.8千·13薪,绍兴·柯桥区,无需经验,,乐宫（河北）企业管理有限公司,专业服务(咨询、人力资源、财会),民营,少于50人,五险一金;绩效奖金,计算机;数据分析;excel;sql;数学;数据支持;业务优化;数据分析模型;统计学;挖掘数据价值,
数据分析师（双休）,9千-1.2万·13薪,杭州·拱墅区,1年及以上,大专,蓝象供应链管理（天津）有限公司,外包服务,民营,50-150人,双休;五险一金;带薪年假;带薪病假;年终奖金;绩效奖金;项目奖金,数据分析;数据支持;数据挖掘;数据处理,
数据分析师,7-9千,深圳,无需经验,,深圳市晋言咨询有限公司,互联网/电子商务,民营,50-150人,五险;五险一金,数据分析;excel;sql;业务流程;数据分析模型;数据处理;数据分析报告;挖掘数据价值;python,
数据分析师,7千-1.2万·13薪,上海,1-2年,大专,北京京铭宏硕科技有限公司,计算机软件,民营,150-500人,五险一金;补充医疗保险;通讯补贴;餐饮补贴;交通补贴,计算机;办公软件;excel;运筹学;标注;应用数学;统计学,
数据分析员/五险双休,7.6-9.8千·13薪,中山·石岐区,无需经验,,乐宫（河北）企业管理有限公司,专业服务(咨询、人力资源、财会),民营,少于50人,五险一金;绩效奖金,计算机;数据分析;excel;sql;数学;数据支持;业务优化;数据分析模型;统计学;挖掘数据价值,
数据分析师（双休）,1-1.2万·13薪,北京,1年及以上,大专,蓝象供应链管理（天津）有限公司,外包服务,民营,50-150人,双休;五险一金;带薪年假;带薪病假;年终奖金;绩效奖金;项目奖金,数据分析;数据支持;数据挖掘;数据处理,
数据分析师,1.1-1.5万,杭州,1年及以上,本科,石家庄迈众人力资源服务有限公司,专业服务(咨询、人力资源、财会),民营,未知,五险一金;绩效奖金,计算机;数据分析;excel;sql;数学;数据收集;数据可视化;数据模型;策略制定;业务规划,
